h2,ch4,c2h6,c2h4,c2h2
2091,149,20,3,0.001
8200,3790,250,4620,277
75,15,7,14,250
530,345,85,266,21
60,5,2,21,32
5900,1500,68,1200,800
1,27,49,4,1
14,14,124,7,1
3420,7870,1500,6990,33
19.3,103,159,19,0.6
27,30,23,2.4,0.1
23,63,54,10,0.3
21,34,5,47,62
160,130,33,96,0.1
180,175,75,50,4
345,112.3,27.5,51.5,58.8
30.4,117,44.2,138,0.1
181,262,41,28,0.001
173,334,172,812.5,37.7
127,107,11,154,224
60,40,6.9,110,70
220,340,42,480,14
170,320,53,520,3.2
27,90,42,63,0.2
56,286,96,928,7
200,48,14,117,131
78,161,86,353,10
32.4,5.5,1.4,12.6,13.2
980,73,58,12,0.001
160,130,33,96,0.001
650,53,35,20,0.001
95,110,160,50,0.001
300,490,180,360,95
200,700,250,740,1
625,130,47,2,0.0001
56,61,75,32,31
1651,90,33,45,2
234.5,30.28,6.11,47.69,175.88
18.34,16.26,3.38,17.95,16.42
235.46,333.59,177.52,1201.85,148.87
505.57,475.35,242.3,524.45,3.29
36,30,10,93,7.1
